operator,num_of_crashes
Coastal Air Lines,1
Coastal Cargo,1
COHATA,1
Colombia Air Force,1
Colombian Air Force,1
Colombian Army,1
Colombian government,1
Columbia Air Cargo,1
Columbia Pacific Airlines,1
Connair,1
Classic Wings,1
Cunard Eagle Airways,1
Currey Air Transport,1
Custom Air Service,1
Czech Airlines,1
Czechoslovak Airlinex,1
Daallo Airlines,1
Daewoo Shipbuilding,1
Dagestan Airlines,1
Dai Nippon,1
Daimler Airways,1
Daimler Airways / Grands Express Aeriens,1
Dalmia Jain Airways,1
Continental Air Transport,1
Cruzeiro Do Sud,1
Cruzeiro do Sul,1
CSA Czech Airlines,1
CTA Languedoc Roussillon,1
Cuban Air Force,1
Cubana (leased from Global Air),1
Det Danske Luftfartselskab,1
DETA,1
Deutche Lufthansa,1
Deutsche Flugdienst,1
Delta Air Lines/ North Central Airlines,1
Den Norske Luftfartskole,1
Deraps Aviation,1
Derby Aviation,1
Dana Air,1
Dan-Air Services,1
Darbhanga Aviation,1
DDL,1
de Havilland Air Service,1
de Havilland Aircraft,1
de Havilland Dove,1
Fuerza Aerea Mexicana,1
Fuerza Area Angolaise,1
Fuerza Del Peru,1
Fuji Airlines,1
Fujita Koku Kabushki Kai,1
Full Account,1
Gabon Express,1
Galaxy Airlines,1
Galaxy Kavatsi Airlines,1
Gambcrest,1
Gander Aviation,1
Garamut Aviation,1
Garuda  Indonesia Airlines / Garuda Indonesia Airlines,1
Frontier Flying Service,1
Federal Nigerian Air Force,1
Fragtflug,1
Franco-Roumaine,1
Fred Olsen Flyveselskap,1
Freedom International,1
Germanwings,1
Ghana Airlink,1
Ghana Airways,1
Ginger Coote Airways,1
GLM Aviation,1
Global Executive Aviation,1
Globe Air,1
Gol Airlines / Private,1
Golden Star Air Cargo,1
Golden West Airlines / Private,1
Goose Bay Air Services,1
Gor'ky Eskadril'ya,1
Goroka Air Services,1
Government of Equatorial Guinea,1
Government of Macedonia,1
Government of Mozambique,1
Flash Air,1
Fleming Airways System Transport,1
Fleming International Airways,1
Flight Service,1
Flightline,1
Florida Army National Guard,1
Florida Commuter Airlines,1
Fiji Air,1
Fiji Air Services,1
Filair,1
Filipinas Orient Airways,1
Fine Air,1
Finish Air Force,1
Faraz Qeshm Airlines,1
Farnair Hungary,1
Federal Airlines,1
Flugefelag,1
Fly 540,1
Fly Jamaica Airways,1
Fly Montserrat,1
Flying W Airways,1
Flyve Tjenesten,1
ForÃƒÂ§a AÃƒÂ©rea Brasileira,1
ForÃƒÂ§a AÃƒÂ©rea Portuguesa,1
Force AÃƒÂ©rienne ZaÃƒÂ¯roise,1
Force Area Populaire de Angola,1
French Navy,1
